Idade,Genero,Nivel Ensino,Area Formacao,Setor,Nivel,Faixa Salarial,Anos experiencia,Faixa Salarial – numero,Data ultimo aumento
29,Feminino,Pós-graduação,Outras Engenharias,Indústria,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,12000,28/01/23
30,Feminino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Setor Público,Gestor,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,20000,19/05/22
25,Feminino,Graduação/Bacharelado,Outras Engenharias,Tecnologia/Fábrica de Software,Gestor,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,8000,21/10/21
35,Feminino,Pós-graduação,Estatística/ Matemática / Matemática Computacional,Marketing,Gestor,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,16000,16/09/21
37,Feminino,Pós-graduação,Estatística/ Matemática / Matemática Computacional,Educação,Gestor,de R$ 12.001/mês a R$ 16.000/mês,Menos de 1 ano,16000,26/03/21
30,Feminino,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Área da Saúde,Gestor,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 5 anos,20000,31/07/23
31,Feminino,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional,Finanças ou Bancos,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,16000,27/09/23
34,Feminino,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Imobiliário,Gestor,de R$ 20.001/mês a R$ 25.000/mês,de 4 a 5 anos,25000,09/02/21
32,Feminino,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,Área da Saúde,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,12000,05/09/21
24,Feminino,Graduação/Bacharelado,Outras Engenharias,Área da Saúde,Gestor,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,6000,01/04/21
26,Feminino,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Marketing,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,16000,28/12/23
50,Feminino,Mestrado,Marketing / Publicidade / Comunicação / Jornalismo,Tecnologia/Fábrica de Software,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,12000,03/11/21
28,Feminino,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Tecnologia/Fábrica de Software,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,12000,19/07/23
52,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Indústria,Gestor,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,8000,17/12/22
40,Masculino,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Energia,Gestor,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,8000,25/12/23
29,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Finanças ou Bancos,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,12000,22/10/22
54,Masculino,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,Telecomunicação,Gestor,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,6000,30/01/21
38,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Serviços,Gestor,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,8000,26/03/23
29,Masculino,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Finanças ou Bancos,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,16000,06/04/23
36,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Marketing,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,16000,04/05/22
33,Masculino,Pós-graduação,Estatística/ Matemática / Matemática Computacional,Tecnologia/Fábrica de Software,Gestor,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,20000,30/03/22
34,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Tecnologia/Fábrica de Software,Gestor,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,20000,31/07/23
49,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Indústria,Gestor,de R$ 30.001/mês a R$ 40.000/mês,Mais de 10 anos,40000,23/04/22
25,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Telecomunicação,Gestor,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,8000,28/10/23
29,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Área da Saúde,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,12000,12/03/23
40,Masculino,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Tecnologia/Fábrica de Software,Gestor,de R$ 25.001/mês a R$ 30.000/mês,Mais de 10 anos,30000,25/09/21
42,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Tecnologia/Fábrica de Software,Gestor,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,16000,14/01/23
32,Masculino,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,Marketing,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,12000,02/11/23
28,Masculino,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Setor Público,Gestor,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,8000,13/12/23
40,Masculino,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Consultoria,Gestor,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,8000,15/01/23
49,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Serviços,Gestor,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,6000,26/06/23
32,Feminino,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,Tecnologia/Fábrica de Software,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,16000,09/10/23
26,Masculino,Graduação/Bacharelado,Outras Engenharias,Finanças ou Bancos,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,16000,25/04/21
53,Masculino,Pós-graduação,Estatística/ Matemática / Matemática Computacional,Área da Saúde,Gestor,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,20000,27/03/23
34,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Finanças ou Bancos,Gestor,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,12000,04/12/22
26,Masculino,Pós-graduação,Outras Engenharias,Tecnologia/Fábrica de Software,Gestor,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,6000,17/03/22
50,Masculino,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Finanças ou Bancos,Gestor,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,16000,26/07/22
38,Feminino,Pós-graduação,Estatística/ Matemática / Matemática Computacional,Educação,Gestor,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,12000,15/03/22
43,Masculino,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Tecnologia/Fábrica de Software,Gestor,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,20000,19/12/21
39,Masculino,Graduação/Bacharelado,Outras Engenharias,Tecnologia/Fábrica de Software,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 1 a 2 anos,16000,10/09/21
50,Feminino,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Tecnologia/Fábrica de Software,Gestor,de R$ 16.001/mês a R$ 20.000/mês,de 2 a 3 anos,20000,07/09/21
36,Masculino,Mestrado,Química / Física,Tecnologia/Fábrica de Software,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,16000,19/05/23
42,Masculino,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Setor Público,Gestor,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,16000,06/08/21
32,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Finanças ou Bancos,Gestor,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,16000,24/08/23
39,Masculino,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Internet/Ecommerce,Gestor,Menos de R$ 1.000/mês,Menos de 1 ano,1000,22/01/21
37,Masculino,Pós-graduação,Outras Engenharias,Tecnologia/Fábrica de Software,Gestor,de R$ 16.001/mês a R$ 20.000/mês,de 1 a 2 anos,20000,10/07/22
28,Masculino,Não tenho graduação formal,,Marketing,Gestor,de R$ 25.001/mês a R$ 30.000/mês,de 6 a 10 anos,30000,08/01/23
36,Masculino,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Educação,Gestor,de R$ 16.001/mês a R$ 20.000/mês,de 2 a 3 anos,20000,17/09/22
29,Feminino,Não tenho graduação formal,,Tecnologia/Fábrica de Software,Gestor,Acima de R$ 40.001/mês,de 6 a 10 anos,45000,02/05/21
40,Masculino,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Varejo,Gestor,de R$ 20.001/mês a R$ 25.000/mês,de 4 a 5 anos,25000,01/01/22
30,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Varejo,Gestor,de R$ 16.001/mês a R$ 20.000/mês,Menos de 1 ano,20000,13/03/23
43,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Área da Saúde,Gestor,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 5 anos,20000,12/07/22
35,Masculino,Graduação/Bacharelado,Outras,Marketing,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,12000,26/11/21
32,Masculino,Mestrado,Economia/ Administração / Contabilidade / Finanças,Educação,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,12000,08/05/22
36,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Marketing,Gestor,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,20000,22/03/21
41,Feminino,Pós-graduação,Estatística/ Matemática / Matemática Computacional,Entretenimento ou Esportes,Gestor,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,20000,14/11/22
41,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Finanças ou Bancos,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,12000,18/05/23
49,Masculino,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Área da Saúde,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 1 a 2 anos,16000,18/08/21
26,Masculino,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Marketing,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,12000,05/02/22
36,Masculino,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Consultoria,Gestor,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,16000,22/08/21
31,Masculino,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Tecnologia/Fábrica de Software,Gestor,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,8000,16/06/22
27,Masculino,Graduação/Bacharelado,Outras Engenharias,Finanças ou Bancos,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,16000,06/12/23
35,Masculino,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,Setor Público,Gestor,de R$ 20.001/mês a R$ 25.000/mês,Mais de 10 anos,25000,24/11/22
26,Masculino,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Tecnologia/Fábrica de Software,Gestor,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,8000,01/11/22
26,Masculino,Pós-graduação,Outras Engenharias,Agronegócios,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,12000,22/09/22
45,Masculino,Graduação/Bacharelado,Outras Engenharias,Entretenimento ou Esportes,Gestor,de R$ 20.001/mês a R$ 25.000/mês,de 6 a 10 anos,25000,29/01/22
39,Masculino,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Setor Público,Gestor,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,8000,01/05/23
44,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Finanças ou Bancos,Gestor,de R$ 30.001/mês a R$ 40.000/mês,Mais de 10 anos,40000,11/12/22
39,Feminino,Não tenho graduação formal,,Setor Automotivo,Gestor,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,8000,06/12/23
45,Masculino,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Internet/Ecommerce,Gestor,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,20000,01/02/23
27,Masculino,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Finanças ou Bancos,Gestor,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,8000,26/04/21
33,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Internet/Ecommerce,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,16000,08/12/22
27,Feminino,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Finanças ou Bancos,Gestor,de R$ 16.001/mês a R$ 20.000/mês,de 2 a 3 anos,20000,09/09/22
28,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Educação,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,16000,31/07/23
27,Masculino,Graduação/Bacharelado,Outras Engenharias,Finanças ou Bancos,Gestor,de R$ 25.001/mês a R$ 30.000/mês,de 1 a 2 anos,30000,07/11/21
35,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Finanças ou Bancos,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,16000,04/10/22
32,Masculino,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Marketing,Gestor,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 5 anos,20000,05/11/23
33,Masculino,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Tecnologia/Fábrica de Software,Gestor,de R$ 25.001/mês a R$ 30.000/mês,Mais de 10 anos,30000,20/06/22
34,Masculino,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Tecnologia/Fábrica de Software,Gestor,de R$ 16.001/mês a R$ 20.000/mês,Menos de 1 ano,20000,15/01/23
38,Feminino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Finanças ou Bancos,Gestor,de R$ 20.001/mês a R$ 25.000/mês,de 6 a 10 anos,25000,11/11/21
48,Masculino,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Finanças ou Bancos,Gestor,de R$ 20.001/mês a R$ 25.000/mês,Mais de 10 anos,25000,22/03/21
39,Masculino,Graduação/Bacharelado,Outras Engenharias,Indústria,Gestor,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 5 anos,20000,01/11/21
31,Masculino,Não tenho graduação formal,,Tecnologia/Fábrica de Software,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,16000,21/04/23
53,Feminino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Tecnologia/Fábrica de Software,Gestor,de R$ 25.001/mês a R$ 30.000/mês,Menos de 1 ano,30000,30/06/21
28,Masculino,Graduação/Bacharelado,Outras Engenharias,Agronegócios,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,16000,28/11/22
27,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Tecnologia/Fábrica de Software,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,16000,30/05/22
32,Masculino,Mestrado,Outras Engenharias,Indústria,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,16000,22/11/23
23,Masculino,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Finanças ou Bancos,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,12000,11/02/23
24,Masculino,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Finanças ou Bancos,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,12000,20/03/22
27,Masculino,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Agronegócios,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,12000,02/01/23
35,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Finanças ou Bancos,Gestor,de R$ 25.001/mês a R$ 30.000/mês,Mais de 10 anos,30000,20/12/23
26,Masculino,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Finanças ou Bancos,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,16000,12/04/22
51,Masculino,Não tenho graduação formal,,Internet/Ecommerce,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,12000,12/09/22
41,Masculino,Doutorado ou Phd,Ciências Sociais,Entretenimento ou Esportes,Gestor,Acima de R$ 40.001/mês,Mais de 10 anos,45000,22/07/22
26,Masculino,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,Outro,Gestor,de R$ 25.001/mês a R$ 30.000/mês,de 2 a 3 anos,30000,22/10/23
36,Masculino,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Outro,Gestor,de R$ 30.001/mês a R$ 40.000/mês,Menos de 1 ano,40000,04/09/23
38,Masculino,Doutorado ou Phd,Outras Engenharias,Tecnologia/Fábrica de Software,Gestor,de R$ 6.001/mês a R$ 8.000/mês,de 6 a 10 anos,8000,11/01/21
38,Masculino,Mestrado,Economia/ Administração / Contabilidade / Finanças,Consultoria,Gestor,Acima de R$ 40.001/mês,de 4 a 5 anos,45000,24/10/22
30,Masculino,Graduação/Bacharelado,Outras Engenharias,Tecnologia/Fábrica de Software,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,16000,04/09/22
39,Masculino,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,Internet/Ecommerce,Gestor,de R$ 20.001/mês a R$ 25.000/mês,Mais de 10 anos,25000,02/08/23
31,Masculino,Mestrado,Outras Engenharias,Tecnologia/Fábrica de Software,Gestor,de R$ 30.001/mês a R$ 40.000/mês,de 4 a 5 anos,40000,10/12/22
33,Masculino,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Finanças ou Bancos,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,16000,30/01/23
30,Masculino,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Energia,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,16000,07/11/22
28,Masculino,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Tecnologia/Fábrica de Software,Gestor,de R$ 20.001/mês a R$ 25.000/mês,de 4 a 5 anos,25000,19/05/22
30,Feminino,Mestrado,Marketing / Publicidade / Comunicação / Jornalismo,Tecnologia/Fábrica de Software,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,12000,23/01/22
31,Feminino,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional,Área da Saúde,Gestor,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,12000,30/03/22
28,Masculino,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Tecnologia/Fábrica de Software,Gestor,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,16000,01/01/21
